team,team_code,url
Arizona Cardinals,ARI,https://a.espncdn.com/i/teamlogos/nfl/500/ARI.png
Atlanta Falcons,ATL,https://a.espncdn.com/i/teamlogos/nfl/500/ATL.png
Baltimore Ravens,BAL,https://a.espncdn.com/i/teamlogos/nfl/500/BAL.png
Buffalo Bills,BUF,https://a.espncdn.com/i/teamlogos/nfl/500/BUF.png
Carolina Panthers,CAR,https://a.espncdn.com/i/teamlogos/nfl/500/CAR.png
Chicago Bears,CHI,https://a.espncdn.com/i/teamlogos/nfl/500/CHI.png
Cincinnati Bengals,CIN,https://a.espncdn.com/i/teamlogos/nfl/500/CIN.png
Cleveland Browns,CLE,https://a.espncdn.com/i/teamlogos/nfl/500/CLE.png
Dallas Cowboys,DAL,https://a.espncdn.com/i/teamlogos/nfl/500/DAL.png
Denver Broncos,DEN,https://a.espncdn.com/i/teamlogos/nfl/500/DEN.png
Detroit Lions,DET,https://a.espncdn.com/i/teamlogos/nfl/500/DET.png
Green Bay Packers,GB,https://a.espncdn.com/i/teamlogos/nfl/500/GB.png
Houston Texans,HOU,https://a.espncdn.com/i/teamlogos/nfl/500/HOU.png
Indianapolis Colts,IND,https://a.espncdn.com/i/teamlogos/nfl/500/IND.png
Jacksonville Jaguars,JAX,https://a.espncdn.com/i/teamlogos/nfl/500/JAX.png
Kansas City Chiefs,KC,https://a.espncdn.com/i/teamlogos/nfl/500/KC.png
Los Angeles Rams,LA,https://a.espncdn.com/i/teamlogos/nfl/500/LA.png
Los Angeles Chargers,LAC,https://a.espncdn.com/i/teamlogos/nfl/500/LAC.png
Las Vegas Raiders,LV,https://a.espncdn.com/i/teamlogos/nfl/500/LV.png
Miami Dolphins,MIA,https://a.espncdn.com/i/teamlogos/nfl/500/MIA.png
Minnesota Vikings,MIN,https://a.espncdn.com/i/teamlogos/nfl/500/MIN.png
New England Patriots,NE,https://a.espncdn.com/i/teamlogos/nfl/500/NE.png
New Orleans Saints,NO,https://a.espncdn.com/i/teamlogos/nfl/500/NO.png
New York Giants,NYG,https://a.espncdn.com/i/teamlogos/nfl/500/NYG.png
New York Jets,NYJ,https://a.espncdn.com/i/teamlogos/nfl/500/NYJ.png
Philadelphia Eagles,PHI,https://a.espncdn.com/i/teamlogos/nfl/500/PHI.png
Pittsburgh Steelers,PIT,https://a.espncdn.com/i/teamlogos/nfl/500/PIT.png
Seattle Seahawks,SEA,https://a.espncdn.com/i/teamlogos/nfl/500/SEA.png
San Francisco 49ers,SF,https://a.espncdn.com/i/teamlogos/nfl/500/SF.png
Tampa Bay Buccaneers,TB,https://a.espncdn.com/i/teamlogos/nfl/500/TB.png
Tennessee Titans,TEN,https://a.espncdn.com/i/teamlogos/nfl/500/TEN.png
Washington Football Team,WAS,https://a.espncdn.com/i/teamlogos/nfl/500/WAS.png
NFL Total,NFL,https://a.espncdn.com/i/teamlogos/leagues/500/nfl.png
